DRB.UEThpDl,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,RRU.PrbUsedDl,Viavi.UE.anomalies,step,measTimeStampRf,nbCellIdentity_0,nbCellIdentity_1,nbCellIdentity_2,nbCellIdentity_3,nbCellIdentity_4,nrCellIdentity,rsrp_nb0,rsrp_nb1,rsrp_nb2,rsrp_nb3,rsrp_nb4,rsrq_nb0,rsrq_nb1,rsrq_nb2,rsrq_nb3,rsrq_nb4,rssinr_nb0,rssinr_nb1,rssinr_nb2,rssinr_nb3,rssinr_nb4,targetTput,ue-id,x,y
25.28216364,-65.51132509,-40,2315117590,90.19623564,1,3,31:00.7,Null,Null,Null,Null,Null,6,5.337945231,43.65909657,92.1659147,16.14570214,15.16063718,-40,-40,-40,-40,-40,8.117782286,22.11660474,62.8029036,86.46440737,27.19466894,20.4757135,UE0,43.0048466,700.2815304
25.42983493,-66.70267735,-40,1759696739,2.843496112,1,3,31:00.7,5,Null,Null,Null,Null,4,-73.01134486,51.78721932,72.68379052,61.05754128,82.99469112,-40,-40,-40,-40,-40,411690720.8,86.77513076,94.32351843,38.8575761,15.62335661,97.34897055,UE1,804.8359724,913.0354644
25.63195468,-53.36968405,-40,37908548763,22.80134739,1,3,31:00.7,2,6,Null,Null,Null,1,-72.24022916,-73.55838059,83.2508937,23.58474538,2.323269296,-40,-40,-40,-40,-40,491680118.6,362967303.1,65.42912049,45.84053788,48.21905707,37.59652853,UE2,319.3895097,354.39231
25.28044076,-63.71590906,-40,3500375684,37.87310383,1,3,31:00.7,1,3,Null,Null,Null,2,-69.15976723,-67.82773597,54.99431487,68.51008035,56.52023569,-40,-40,-40,-40,-40,999375829,1358100680,80.65959502,34.33593933,21.31034902,40.1514737,UE3,508.7419949,290.3058411
25.5071367,-49.19253272,-40,99186437521,40.87477336,0,3,31:00.7,2,6,Null,Null,Null,1,-72.9575285,-73.59094498,50.5711349,2.253071777,10.06290626,-40,-40,-40,-40,-40,416823997.7,360255870.3,5.714548291,30.79141162,53.40867422,46.6489429,UE4,291.5744983,349.193967
25.47593516,-68.96458993,-40,13.22972391,32.91076964,0,3,31:00.7,1,3,4,5,Null,6,-73.78175516,-74.8930149,-71.59640643,-72.97668077,90.16669571,-40,-40,-40,-40,-40,3.778723724,1.349477803,8.064569551,414989861.7,89.11015717,78.81756913,UE5,475.2691769,569.5011635
25.34953563,-67.80501067,-40,1365225832,6.214574076,1,3,31:00.7,3,Null,Null,Null,Null,4,-69.30921881,56.27312559,26.88803355,88.80876103,96.19178742,-40,-40,-40,-40,-40,965569821.3,21.24146576,51.01997294,53.9177528,38.16090537,18.43628758,UE6,902.0955478,518.6444127
25.44945516,-63.50157857,-40,3677457879,17.02556333,0,3,31:00.7,3,Null,Null,Null,Null,2,-70.02276059,59.91455401,27.20493178,63.56044312,5.757388151,-40,-40,-40,-40,-40,819274626.3,65.51167696,2.583014337,16.7565342,11.22275647,8.373730155,UE7,641.0241809,42.93779587
25.5049268,-60.74212197,-40,6942139984,82.54088728,0,3,31:00.7,Null,Null,Null,Null,Null,3,98.76663042,94.40257734,43.47249416,27.35026668,52.50562923,-40,-40,-40,-40,-40,56.68877332,80.64170571,57.83302748,4.571736111,21.79732523,87.45488505,UE8,897.7054626,327.5960856
25.28411885,-61.85638399,-40,5371148562,85.3228568,0,3,31:00.7,2,4,Null,Null,Null,3,-73.26215577,-72.11794616,89.57882793,4.310837626,52.78360936,-40,-40,-40,-40,-40,388588538.7,505720953.4,70.61019296,25.26753988,35.11177271,42.491918,UE9,630.0761607,408.9465495
25.08758674,-51.49714975,-40,58343246116,50.70839724,0,3,31:00.7,5,Null,Null,Null,Null,4,-72.93618878,94.69802696,37.92923882,30.37357793,19.38272881,-40,-40,-40,-40,-40,418877165.9,15.82039954,76.12533624,3.903642239,18.70675027,87.13392079,UE10,786.2457359,767.7428252
25.25889496,-66.17280262,-40,1988040843,48.40127345,1,3,31:00.7,Null,Null,Null,Null,Null,4,60.82533456,83.97854017,92.66641904,77.32729899,60.54817592,-40,-40,-40,-40,-40,83.88575412,29.36263371,36.40806596,16.66837612,94.92916076,16.14387014,UE11,933.3055311,807.2153162
25.53344091,-64.26363355,-40,3085618355,32.24688934,1,3,31:00.7,Null,Null,Null,Null,Null,1,12.87830845,78.82511147,98.60901034,59.97435751,59.37598015,-40,-40,-40,-40,-40,2.141933703,21.54569261,72.69877649,58.66351111,26.01725883,87.94183933,UE12,67.88154566,342.2144833
25.56098565,-65.63633102,-40,2249429893,35.36301862,1,3,31:00.7,2,Null,Null,Null,Null,1,-73.30791697,25.65289079,81.95354515,68.55431051,68.31543002,-40,-40,-40,-40,-40,384515514.2,27.82329311,32.97810274,82.6455706,33.5340484,47.95667096,UE13,187.3789799,104.9021226
25.49960471,-68.68873488,-40,1113863766,17.34423476,0,3,31:00.7,3,5,6,Null,Null,4,-74.55127289,-71.47100865,-70.54811794,27.37296236,46.27615288,-40,-40,-40,-40,-40,2.10229059,586954855.3,8.492269726,98.04486258,88.92021649,23.87293734,UE14,520.571746,598.2654758
25.24509424,-46.20652947,-40,1.97E+11,49.47709134,0,3,31:00.7,5,Null,Null,Null,Null,6,-71.16221819,85.55570218,88.79578305,99.93594935,40.25902462,-40,-40,-40,-40,-40,630207758.3,59.29779449,31.02166374,45.68273516,46.72090792,87.61978979,UE15,300.6287964,690.1318192
25.07876751,-68.80575774,-40,1084250897,8.859572152,0,3,31:00.7,Null,Null,Null,Null,Null,3,68.73647309,63.5468615,49.60432804,16.92281517,22.43284075,-40,-40,-40,-40,-40,9.852321141,30.99106105,4.598835269,73.35102738,37.80418022,91.672276,UE16,853.5268313,64.10131373
25.14702046,-51.76896248,-40,54803628852,59.71942736,0,3,31:00.7,6,Null,Null,Null,Null,1,-72.32261627,91.78423666,50.1325126,36.51087966,21.88702094,-40,-40,-40,-40,-40,482440698.4,55.69864309,34.32112512,2.405837038,17.43255534,94.89606524,UE17,229.5510178,375.6877781
25.31198008,-60.5001658,-40,7339880408,25.18346793,1,3,31:00.7,1,3,Null,Null,Null,2,-63.1952339,-74.89644953,41.44919817,79.68320548,87.17678804,-40,-40,-40,-40,-40,3946228007,266723088.6,45.25894156,17.97393469,74.70424659,2.782925612,UE18,382.1086986,186.7269219
25.08221161,-62.20682494,-40,4954765104,51.3875525,1,3,31:00.7,4,Null,Null,Null,Null,3,-71.41357685,64.88697657,65.17818289,38.08693075,36.47297742,-40,-40,-40,-40,-40,594768390,73.07643275,19.58361467,46.66504332,26.31404815,69.27711999,UE19,862.9298947,421.5237578
25.10992911,-49.44391436,-40,93608250418,70.91631333,1,3,31:00.7,4,6,Null,Null,Null,5,-73.03980322,-73.44109377,24.61677846,36.84901499,41.57240255,-40,-40,-40,-40,-40,409001821.3,372903265.8,46.11124238,84.38349667,59.11551778,29.42524742,UE20,510.4621111,933.4854408
25.1786093,-74.0315602,-40,325498914.1,66.16483197,0,3,31:00.7,Null,Null,Null,Null,Null,6,79.31135731,21.93050152,90.18380611,33.62161584,76.10454237,-40,-40,-40,-40,-40,61.20428294,9.522866765,7.918116133,92.97696818,5.932073434,36.19961921,UE21,42.68719601,998.7713378
25.21462908,-69.65485892,-40,891701858.4,44.1557451,0,3,31:00.7,Null,Null,Null,Null,Null,3,70.62771071,84.75847532,41.74728769,50.02329877,84.62145207,-40,-40,-40,-40,-40,93.96685196,7.570566048,51.05242259,80.02517642,58.79666502,84.89276686,UE22,980.2508387,154.2572909
25.18562276,-64.90551524,-40,2661668960,43.88102413,1,3,31:00.7,Null,Null,Null,Null,Null,3,68.49457187,55.37597347,7.331277502,40.41798014,28.96811989,-40,-40,-40,-40,-40,52.73696472,14.16635907,45.70829273,26.88057089,67.64177394,8.254117702,UE23,947.9682202,318.1377553
25.28784643,-72.03907737,-40,514988851.6,55.73980337,0,3,31:00.7,Null,Null,Null,Null,Null,1,83.36801909,16.24115208,80.94491017,26.43672424,60.42508969,-40,-40,-40,-40,-40,96.77362411,21.65980874,45.37795686,43.05671004,30.29574571,2.859866495,UE24,20.3273681,87.11697017
25.12104683,-66.84565219,-40,1702708662,47.99728768,0,3,31:00.7,2,Null,Null,Null,Null,3,-72.04402098,76.7999067,37.49938603,6.233519314,74.24129058,-40,-40,-40,-40,-40,514402967.9,78.83240253,84.03064803,43.61728656,35.30327533,93.80348632,UE25,784.0696329,76.36493891
25.54524005,-58.13552706,-40,12651815732,26.10134784,1,3,31:00.7,6,Null,Null,Null,Null,5,-66.09225602,36.01599606,63.95128926,15.40371533,99.26357731,-40,-40,-40,-40,-40,2025256162,78.28412716,54.2751206,28.54243067,96.97333169,33.08179743,UE26,387.3608171,865.6091433
25.01613689,-48.97956912,-40,1.04E+11,31.91161048,1,3,31:00.7,1,5,Null,Null,Null,6,-73.37011451,-73.81128506,51.43738154,6.704482345,56.67088797,-40,-40,-40,-40,-40,379047915.5,342434141.6,92.59898322,48.00655817,86.03498434,92.20260468,UE27,276.3013833,640.8475352
25.0030272,-63.97826094,-40,3295182484,30.96973803,0,3,31:00.7,6,Null,Null,Null,Null,1,-69.2767895,85.11668195,63.84169205,25.74277908,10.09120465,-40,-40,-40,-40,-40,972806837.7,33.55334193,45.66434828,98.84025846,54.4377579,87.54267969,UE28,349.9900367,453.7546974
25.3418088,-57.51258807,-40,14603157090,29.96502194,0,3,31:00.7,2,Null,Null,Null,Null,3,-72.36702176,67.60105775,44.54451811,90.17007754,4.170613745,-40,-40,-40,-40,-40,477532999,94.27020292,57.72607858,1.725557688,17.21151663,77.81977116,UE29,788.0867638,185.7109521
25.3030896,-56.17503365,-40,19870198210,47.13157677,0,3,31:00.7,5,Null,Null,Null,Null,6,-74.89483207,33.05855653,36.68022942,83.37160239,74.73854774,-40,-40,-40,-40,-40,266822443.7,25.49592823,24.7394256,70.24469716,50.89029676,6.017013156,UE30,167.6395874,772.5682692
25.47413578,-62.66123913,-40,4462535157,71.34809324,0,3,31:00.7,6,Null,Null,Null,Null,1,-67.57329298,62.80492557,35.78801482,25.37258439,16.24005317,-40,-40,-40,-40,-40,1440045672,43.14682102,75.20559448,37.17423465,87.64444776,87.45652431,UE31,217.846951,464.775338
25.35089723,-52.0747397,-40,51077730655,33.74635262,0,3,31:00.7,2,6,Null,Null,Null,1,-72.80097558,-73.31716927,90.0830146,83.54669148,7.475450495,-40,-40,-40,-40,-40,432123620.6,383697205.9,40.22118817,40.10674017,88.47241036,69.44436576,UE32,305.8349283,357.5696615
25.48160374,-71.50296128,-40,582652260.8,53.10036103,1,3,31:00.7,Null,Null,Null,Null,Null,4,22.91867888,87.75405717,64.67963951,6.085728142,56.91479301,-40,-40,-40,-40,-40,80.80467327,84.56102379,94.00125053,4.487677012,63.55782007,12.62479089,UE33,867.6442993,978.4480663
25.12418109,-64.33459234,-40,3035612482,91.68358105,0,3,31:00.7,2,3,Null,Null,Null,1,-68.22710105,-72.02228918,9.846516464,86.8891997,72.40044767,-40,-40,-40,-40,-40,1238783633,516983457.2,3.376493099,72.77655879,59.26642499,88.70900396,UE34,433.7843326,338.8082446
25.47724695,-62.81147055,-40,4310806299,56.13376813,0,3,31:00.7,3,Null,Null,Null,Null,4,-72.50916015,67.1517277,15.3029676,12.22762266,23.99976792,-40,-40,-40,-40,-40,462157014.4,50.38558204,90.06891597,10.90729907,41.97389113,73.00298204,UE35,886.4769732,599.3298074
25.1948457,-63.97369055,-40,3298652062,89.67337504,1,3,31:00.7,2,3,6,Null,Null,1,-72.58523505,-74.14242281,-72.53700224,64.24252791,34.05494139,-40,-40,-40,-40,-40,454131951.9,3.651456934,4.889341158,13.56112854,4.402524776,43.50070339,UE36,399.4320729,406.2448781
25.32244808,-60.84226396,-40,6783895796,22.15722893,1,3,31:00.7,3,Null,Null,Null,Null,4,-68.46739281,53.12592524,50.93670176,82.61326962,10.55446755,-40,-40,-40,-40,-40,1172104365,98.03684185,29.67215273,72.73978504,9.035975456,83.83378664,UE37,758.3385075,551.7702401
25.05050574,-38.82624816,-40,1.08E+12,74.12930038,1,3,31:00.7,1,3,Null,Null,Null,2,-70.93603489,-71.29287887,28.53955592,67.01832106,41.61137205,-40,-40,-40,-40,-40,663899093.3,611529872.6,28.84786677,36.16613397,91.38718016,18.6193897,UE38,492.59574,138.962077
25.25708842,-68.26045829,-40,1229305247,18.36212572,1,3,31:00.7,2,3,Null,Null,Null,1,-69.33621451,-69.68053543,26.88227649,9.770675434,17.81139371,-40,-40,-40,-40,-40,959586463.2,886445462.3,33.79437054,85.19554921,86.37600717,8.320118047,UE39,485.0027189,365.4625197
25.56014178,-65.08512276,-40,2553837665,4.566982788,0,3,31:00.7,Null,Null,Null,Null,Null,3,64.69686762,80.82944429,92.50463754,17.86189995,24.16307239,-40,-40,-40,-40,-40,93.54892365,88.18434053,35.29011095,24.22508073,92.80802789,57.15609057,UE40,948.8143592,330.8576572
